ts,team,p_title,p_final,p_sf,p_qf,p_advance,elo
2026-06-13T16:54:52.386029+00:00,ESP,0.15200,0.23186,0.34184,0.47630,0.98736,2157.0
2026-06-13T16:54:52.386029+00:00,ARG,0.11646,0.19284,0.30034,0.43982,0.96256,2115.0
2026-06-13T16:54:52.386029+00:00,FRA,0.09128,0.15854,0.27624,0.42776,0.95372,2063.0
2026-06-13T16:54:52.386029+00:00,ENG,0.06336,0.11708,0.21092,0.36062,0.94964,2024.0
2026-06-13T16:54:52.386029+00:00,BRA,0.05352,0.10174,0.19836,0.34390,0.96016,1991.0
2026-06-13T16:54:52.386029+00:00,POR,0.05166,0.10012,0.18082,0.33704,0.93650,1989.0
2026-06-13T16:54:52.386029+00:00,COL,0.04530,0.09000,0.16312,0.30158,0.89942,1982.0
2026-06-13T16:54:52.386029+00:00,NED,0.03882,0.07898,0.16104,0.30508,0.89512,1948.0
2026-06-13T16:54:52.386029+00:00,GER,0.03532,0.07434,0.15896,0.28984,0.93414,1932.0
2026-06-13T16:54:52.386029+00:00,ECU,0.03412,0.07084,0.14732,0.27062,0.87458,1938.0
2026-06-13T16:54:52.386029+00:00,MEX,0.03134,0.06922,0.15496,0.32912,0.98426,1888.0
2026-06-13T16:54:52.386029+00:00,NOR,0.02632,0.05982,0.12946,0.25194,0.84602,1914.0
2026-06-13T16:54:52.386029+00:00,TUR,0.02608,0.05732,0.11424,0.23896,0.81942,1911.0
2026-06-13T16:54:52.386029+00:00,SUI,0.02598,0.05848,0.12606,0.28024,0.93410,1891.0
2026-06-13T16:54:52.386029+00:00,BEL,0.02514,0.05750,0.11640,0.27038,0.93354,1894.0
2026-06-13T16:54:52.386029+00:00,JPN,0.02326,0.05140,0.11248,0.23234,0.80470,1906.0
2026-06-13T16:54:52.386029+00:00,CRO,0.02322,0.05268,0.10866,0.21386,0.84706,1912.0
2026-06-13T16:54:52.386029+00:00,URU,0.02050,0.04834,0.10338,0.20822,0.87126,1892.0
2026-06-13T16:54:52.386029+00:00,USA,0.01868,0.04564,0.10556,0.25422,0.97354,1785.7
2026-06-13T16:54:52.386029+00:00,SEN,0.01388,0.03444,0.08302,0.18578,0.71890,1860.0
2026-06-13T16:54:52.386029+00:00,MAR,0.01224,0.03176,0.08100,0.18538,0.81802,1827.0
2026-06-13T16:54:52.386029+00:00,AUT,0.01140,0.02834,0.06410,0.14606,0.77498,1830.0
2026-06-13T16:54:52.386029+00:00,CAN,0.00752,0.02198,0.06026,0.16808,0.83824,1750.7
2026-06-13T16:54:52.386029+00:00,KOR,0.00700,0.02142,0.06366,0.17704,0.94382,1744.7
2026-06-13T16:54:52.386029+00:00,SCO,0.00674,0.01840,0.05282,0.13034,0.68670,1782.0
2026-06-13T16:54:52.386029+00:00,IRN,0.00562,0.01696,0.04400,0.12196,0.67968,1772.0
2026-06-13T16:54:52.386029+00:00,ALG,0.00552,0.01574,0.03902,0.10164,0.63806,1772.0
2026-06-13T16:54:52.386029+00:00,AUS,0.00464,0.01368,0.03562,0.09004,0.50186,1777.0
2026-06-13T16:54:52.386029+00:00,PAR,0.00370,0.00974,0.02558,0.06332,0.38644,1774.3
2026-06-13T16:54:52.386029+00:00,CIV,0.00264,0.00918,0.02972,0.08580,0.66524,1695.0
2026-06-13T16:54:52.386029+00:00,EGY,0.00246,0.00968,0.03086,0.09606,0.70426,1696.0
2026-06-13T16:54:52.386029+00:00,SWE,0.00240,0.00924,0.02916,0.08746,0.60324,1712.0
2026-06-13T16:54:52.386029+00:00,PAN,0.00238,0.00726,0.02040,0.05918,0.46144,1730.0
2026-06-13T16:54:52.386029+00:00,CZE,0.00228,0.00722,0.02402,0.06820,0.53912,1682.3
2026-06-13T16:54:52.386029+00:00,BIH,0.00154,0.00596,0.02214,0.07918,0.66760,1632.3
2026-06-13T16:54:52.386029+00:00,UZB,0.00144,0.00530,0.01572,0.04716,0.38866,1714.0
2026-06-13T16:54:52.386029+00:00,COD,0.00098,0.00364,0.01262,0.04028,0.40742,1652.0
2026-06-13T16:54:52.386029+00:00,JOR,0.00086,0.00298,0.00966,0.03234,0.28264,1680.0
2026-06-13T16:54:52.386029+00:00,TUN,0.00074,0.00258,0.01104,0.04128,0.39006,1628.0
2026-06-13T16:54:52.386029+00:00,CPV,0.00038,0.00158,0.00614,0.02666,0.35024,1578.0
2026-06-13T16:54:52.386029+00:00,NZL,0.00032,0.00148,0.00618,0.02694,0.36562,1562.0
2026-06-13T16:54:52.386029+00:00,IRQ,0.00028,0.00112,0.00420,0.01836,0.18358,1607.0
2026-06-13T16:54:52.386029+00:00,HAI,0.00024,0.00066,0.00364,0.01538,0.22086,1548.0
2026-06-13T16:54:52.386029+00:00,KSA,0.00022,0.00140,0.00564,0.02548,0.32988,1576.0
2026-06-13T16:54:52.386029+00:00,GHA,0.00012,0.00066,0.00366,0.01764,0.38068,1510.0
2026-06-13T16:54:52.386029+00:00,RSA,0.00008,0.00044,0.00304,0.01328,0.22932,1504.0
2026-06-13T16:54:52.386029+00:00,QAT,0.00002,0.00022,0.00160,0.01002,0.25456,1421.0
2026-06-13T16:54:52.386029+00:00,CUW,0.00000,0.00020,0.00132,0.00782,0.22178,1434.0
2026-06-13T18:18:40.495331+00:00,ESP,0.15160,0.23028,0.33946,0.47844,0.98830,2157.0
2026-06-13T18:18:40.495331+00:00,ARG,0.11906,0.19338,0.29986,0.43886,0.96222,2115.0
2026-06-13T18:18:40.495331+00:00,FRA,0.09008,0.15644,0.27206,0.42536,0.95442,2063.0
2026-06-13T18:18:40.495331+00:00,ENG,0.06250,0.11846,0.21224,0.36214,0.95082,2024.0
2026-06-13T18:18:40.495331+00:00,BRA,0.05450,0.10424,0.19784,0.34646,0.96016,1991.0
2026-06-13T18:18:40.495331+00:00,POR,0.04992,0.09698,0.18006,0.33210,0.93620,1989.0
2026-06-13T18:18:40.495331+00:00,COL,0.04458,0.08726,0.16246,0.29748,0.89620,1982.0
2026-06-13T18:18:40.495331+00:00,NED,0.03854,0.07702,0.15698,0.30284,0.89508,1948.0
2026-06-13T18:18:40.495331+00:00,GER,0.03480,0.07338,0.15748,0.28936,0.93404,1932.0
2026-06-13T18:18:40.495331+00:00,ECU,0.03372,0.07230,0.14566,0.26532,0.87546,1938.0
2026-06-13T18:18:40.495331+00:00,MEX,0.03082,0.07038,0.16048,0.33348,0.98562,1888.0
2026-06-13T18:18:40.495331+00:00,NOR,0.02680,0.05964,0.13138,0.25624,0.84662,1914.0
2026-06-13T18:18:40.495331+00:00,SUI,0.02552,0.05896,0.12668,0.28058,0.93384,1891.0
2026-06-13T18:18:40.495331+00:00,TUR,0.02552,0.05666,0.11818,0.24298,0.81872,1911.0
2026-06-13T18:18:40.495331+00:00,BEL,0.02504,0.05786,0.11918,0.27284,0.93548,1894.0
2026-06-13T18:18:40.495331+00:00,CRO,0.02344,0.05288,0.10704,0.21418,0.84774,1912.0
2026-06-13T18:18:40.495331+00:00,JPN,0.02288,0.05172,0.11374,0.23382,0.80606,1906.0
2026-06-13T18:18:40.495331+00:00,URU,0.02062,0.04810,0.10166,0.20940,0.87062,1892.0
2026-06-13T18:18:40.495331+00:00,USA,0.02014,0.04758,0.10494,0.25312,0.97332,1785.7
2026-06-13T18:18:40.495331+00:00,SEN,0.01502,0.03680,0.08494,0.18432,0.71836,1860.0
2026-06-13T18:18:40.495331+00:00,MAR,0.01286,0.03248,0.08100,0.18466,0.81908,1827.0
2026-06-13T18:18:40.495331+00:00,AUT,0.01084,0.02758,0.06356,0.14708,0.77698,1830.0
2026-06-13T18:18:40.495331+00:00,KOR,0.00738,0.02164,0.06602,0.17924,0.94432,1744.7
2026-06-13T18:18:40.495331+00:00,CAN,0.00728,0.02072,0.05886,0.16970,0.83638,1750.7
2026-06-13T18:18:40.495331+00:00,SCO,0.00686,0.01932,0.05234,0.12762,0.68538,1782.0
2026-06-13T18:18:40.495331+00:00,IRN,0.00556,0.01694,0.04328,0.11878,0.67864,1772.0
2026-06-13T18:18:40.495331+00:00,ALG,0.00534,0.01514,0.03868,0.10066,0.64268,1772.0
2026-06-13T18:18:40.495331+00:00,AUS,0.00462,0.01302,0.03436,0.08772,0.50184,1777.0
2026-06-13T18:18:40.495331+00:00,PAR,0.00386,0.01032,0.02626,0.06532,0.38696,1774.3
2026-06-13T18:18:40.495331+00:00,SWE,0.00276,0.00954,0.03018,0.09070,0.60838,1712.0
2026-06-13T18:18:40.495331+00:00,EGY,0.00272,0.00948,0.02936,0.09452,0.70194,1696.0
2026-06-13T18:18:40.495331+00:00,CIV,0.00266,0.00912,0.02950,0.08242,0.66352,1695.0
2026-06-13T18:18:40.495331+00:00,PAN,0.00260,0.00804,0.02150,0.06036,0.46076,1730.0
2026-06-13T18:18:40.495331+00:00,CZE,0.00216,0.00746,0.02500,0.07034,0.53484,1682.3
2026-06-13T18:18:40.495331+00:00,UZB,0.00186,0.00596,0.01744,0.05004,0.39578,1714.0
2026-06-13T18:18:40.495331+00:00,BIH,0.00136,0.00566,0.02108,0.07698,0.66236,1632.3
2026-06-13T18:18:40.495331+00:00,JOR,0.00094,0.00284,0.00994,0.03242,0.28102,1680.0
2026-06-13T18:18:40.495331+00:00,TUN,0.00082,0.00284,0.01030,0.03942,0.38360,1628.0
2026-06-13T18:18:40.495331+00:00,COD,0.00080,0.00308,0.01142,0.03832,0.40816,1652.0
2026-06-13T18:18:40.495331+00:00,KSA,0.00032,0.00178,0.00630,0.02644,0.33394,1576.0
2026-06-13T18:18:40.495331+00:00,NZL,0.00028,0.00126,0.00584,0.02658,0.36196,1562.0
2026-06-13T18:18:40.495331+00:00,CPV,0.00026,0.00150,0.00638,0.02666,0.34844,1578.0
2026-06-13T18:18:40.495331+00:00,IRQ,0.00022,0.00126,0.00498,0.01872,0.18332,1607.0
2026-06-13T18:18:40.495331+00:00,HAI,0.00020,0.00094,0.00410,0.01588,0.21844,1548.0
2026-06-13T18:18:40.495331+00:00,GHA,0.00010,0.00062,0.00340,0.01714,0.38180,1510.0
2026-06-13T18:18:40.495331+00:00,RSA,0.00008,0.00046,0.00336,0.01434,0.22678,1504.0
2026-06-13T18:18:40.495331+00:00,QAT,0.00008,0.00038,0.00162,0.01090,0.26002,1421.0
2026-06-13T18:18:40.495331+00:00,CUW,0.00008,0.00030,0.00162,0.00772,0.22340,1434.0
2026-06-13T20:08:58.038043+00:00,ESP,0.15040,0.22918,0.34010,0.47586,0.98784,2157.0
2026-06-13T20:08:58.038043+00:00,ARG,0.11868,0.19352,0.29962,0.44022,0.96048,2115.0
2026-06-13T20:08:58.038043+00:00,FRA,0.09372,0.16184,0.27554,0.42498,0.95348,2063.0
2026-06-13T20:08:58.038043+00:00,ENG,0.06360,0.11814,0.21038,0.36054,0.95122,2024.0
2026-06-13T20:08:58.038043+00:00,BRA,0.05242,0.10080,0.19420,0.34146,0.96040,1991.0
2026-06-13T20:08:58.038043+00:00,POR,0.05232,0.10056,0.18226,0.32990,0.93730,1989.0
2026-06-13T20:08:58.038043+00:00,COL,0.04526,0.08798,0.16290,0.30060,0.89716,1982.0
2026-06-13T20:08:58.038043+00:00,GER,0.03686,0.07650,0.15962,0.29044,0.93314,1932.0
2026-06-13T20:08:58.038043+00:00,NED,0.03586,0.07410,0.15354,0.30110,0.89468,1948.0
2026-06-13T20:08:58.038043+00:00,ECU,0.03256,0.06958,0.14674,0.26828,0.87590,1938.0
2026-06-13T20:08:58.038043+00:00,MEX,0.03116,0.07148,0.16136,0.33202,0.98464,1888.0
2026-06-13T20:08:58.038043+00:00,NOR,0.02662,0.06104,0.13218,0.25978,0.84504,1914.0
2026-06-13T20:08:58.038043+00:00,BEL,0.02606,0.05802,0.11822,0.27194,0.93486,1894.0
2026-06-13T20:08:58.038043+00:00,SUI,0.02566,0.05740,0.12440,0.27894,0.93310,1891.0
2026-06-13T20:08:58.038043+00:00,TUR,0.02452,0.05432,0.11566,0.23908,0.82116,1911.0
2026-06-13T20:08:58.038043+00:00,CRO,0.02452,0.05270,0.11020,0.21720,0.84548,1912.0
2026-06-13T20:08:58.038043+00:00,JPN,0.02230,0.05136,0.11286,0.23204,0.80606,1906.0
2026-06-13T20:08:58.038043+00:00,URU,0.02170,0.05008,0.10340,0.20884,0.87528,1892.0
2026-06-13T20:08:58.038043+00:00,USA,0.01858,0.04528,0.10432,0.25846,0.97348,1785.7
2026-06-13T20:08:58.038043+00:00,SEN,0.01494,0.03646,0.08434,0.18806,0.72136,1860.0
2026-06-13T20:08:58.038043+00:00,MAR,0.01182,0.03190,0.07962,0.18520,0.81392,1827.0
2026-06-13T20:08:58.038043+00:00,AUT,0.01116,0.02790,0.06468,0.14704,0.77552,1830.0
2026-06-13T20:08:58.038043+00:00,KOR,0.00756,0.02250,0.06618,0.18074,0.94630,1744.7
2026-06-13T20:08:58.038043+00:00,SCO,0.00702,0.01996,0.05362,0.13128,0.68780,1782.0
2026-06-13T20:08:58.038043+00:00,CAN,0.00646,0.02008,0.05818,0.16728,0.83554,1750.7
2026-06-13T20:08:58.038043+00:00,IRN,0.00562,0.01604,0.04322,0.11898,0.67884,1772.0
2026-06-13T20:08:58.038043+00:00,ALG,0.00562,0.01636,0.04102,0.10370,0.64774,1772.0
2026-06-13T20:08:58.038043+00:00,AUS,0.00422,0.01298,0.03512,0.08790,0.49974,1777.0
2026-06-13T20:08:58.038043+00:00,PAR,0.00338,0.01008,0.02658,0.06434,0.38812,1774.3
2026-06-13T20:08:58.038043+00:00,SWE,0.00322,0.01026,0.03004,0.08754,0.60566,1712.0
2026-06-13T20:08:58.038043+00:00,CIV,0.00264,0.00898,0.02806,0.08348,0.66504,1695.0
2026-06-13T20:08:58.038043+00:00,EGY,0.00228,0.00926,0.03008,0.09546,0.70542,1696.0
2026-06-13T20:08:58.038043+00:00,PAN,0.00200,0.00714,0.02188,0.05984,0.45926,1730.0
2026-06-13T20:08:58.038043+00:00,CZE,0.00194,0.00708,0.02456,0.07030,0.53404,1682.3
2026-06-13T20:08:58.038043+00:00,UZB,0.00166,0.00582,0.01730,0.05008,0.39552,1714.0
2026-06-13T20:08:58.038043+00:00,BIH,0.00124,0.00526,0.02152,0.07890,0.66756,1632.3
2026-06-13T20:08:58.038043+00:00,COD,0.00098,0.00366,0.01148,0.03812,0.40676,1652.0
2026-06-13T20:08:58.038043+00:00,TUN,0.00090,0.00302,0.01028,0.03830,0.38358,1628.0
2026-06-13T20:08:58.038043+00:00,JOR,0.00086,0.00294,0.00886,0.03080,0.28102,1680.0
2026-06-13T20:08:58.038043+00:00,CPV,0.00040,0.00152,0.00572,0.02578,0.34050,1578.0
2026-06-13T20:08:58.038043+00:00,IRQ,0.00034,0.00140,0.00500,0.01950,0.18156,1607.0
2026-06-13T20:08:58.038043+00:00,KSA,0.00028,0.00160,0.00674,0.02644,0.33758,1576.0
2026-06-13T20:08:58.038043+00:00,RSA,0.00016,0.00052,0.00276,0.01266,0.22550,1504.0
2026-06-13T20:08:58.038043+00:00,HAI,0.00016,0.00084,0.00404,0.01556,0.22218,1548.0
2026-06-13T20:08:58.038043+00:00,NZL,0.00016,0.00124,0.00572,0.02670,0.36136,1562.0
2026-06-13T20:08:58.038043+00:00,GHA,0.00014,0.00088,0.00328,0.01716,0.38140,1510.0
2026-06-13T20:08:58.038043+00:00,QAT,0.00004,0.00020,0.00134,0.00974,0.25886,1421.0
2026-06-13T20:08:58.038043+00:00,CUW,0.00000,0.00024,0.00128,0.00744,0.22162,1434.0
2026-06-13T21:44:10.577921+00:00,ESP,0.15148,0.22878,0.33908,0.47250,0.98746,2157.0
2026-06-13T21:44:10.577921+00:00,ARG,0.11822,0.19352,0.30256,0.44024,0.96222,2115.0
2026-06-13T21:44:10.577921+00:00,FRA,0.09636,0.16210,0.27664,0.42722,0.95480,2063.0
2026-06-13T21:44:10.577921+00:00,ENG,0.06358,0.11866,0.20710,0.35926,0.95224,2024.0
2026-06-13T21:44:10.577921+00:00,BRA,0.05280,0.10322,0.19664,0.34480,0.95988,1991.0
2026-06-13T21:44:10.577921+00:00,POR,0.05054,0.10124,0.18498,0.34304,0.93474,1989.0
2026-06-13T21:44:10.577921+00:00,COL,0.04600,0.09082,0.16712,0.30772,0.89728,1982.0
2026-06-13T21:44:10.577921+00:00,NED,0.03788,0.07632,0.15722,0.30342,0.89600,1948.0
2026-06-13T21:44:10.577921+00:00,GER,0.03582,0.07584,0.15952,0.28882,0.93148,1932.0
2026-06-13T21:44:10.577921+00:00,ECU,0.03372,0.07088,0.14740,0.27076,0.87664,1938.0
2026-06-13T21:44:10.577921+00:00,MEX,0.02978,0.07138,0.16028,0.33330,0.98484,1888.0
2026-06-13T21:44:10.577921+00:00,NOR,0.02714,0.06076,0.12976,0.25514,0.84698,1914.0
2026-06-13T21:44:10.577921+00:00,BEL,0.02620,0.05830,0.12132,0.27360,0.93616,1894.0
2026-06-13T21:44:10.577921+00:00,TUR,0.02560,0.05784,0.11940,0.24360,0.82180,1911.0
2026-06-13T21:44:10.577921+00:00,JPN,0.02402,0.05298,0.11260,0.23526,0.80836,1906.0
2026-06-13T21:44:10.577921+00:00,CRO,0.02340,0.05322,0.11006,0.21564,0.84600,1912.0
2026-06-13T21:44:10.577921+00:00,URU,0.02050,0.04940,0.10696,0.21020,0.87162,1892.0
2026-06-13T21:44:10.577921+00:00,USA,0.01816,0.04606,0.10400,0.25208,0.97430,1785.7
2026-06-13T21:44:10.577921+00:00,SUI,0.01784,0.04104,0.09716,0.22118,0.81078,1864.8
2026-06-13T21:44:10.577921+00:00,SEN,0.01500,0.03640,0.08284,0.18362,0.72300,1860.0
2026-06-13T21:44:10.577921+00:00,MAR,0.01238,0.03190,0.08048,0.18732,0.81750,1827.0
2026-06-13T21:44:10.577921+00:00,AUT,0.01126,0.02782,0.06450,0.14770,0.77486,1830.0
2026-06-13T21:44:10.577921+00:00,KOR,0.00836,0.02328,0.06810,0.18234,0.94702,1744.7
2026-06-13T21:44:10.577921+00:00,CAN,0.00728,0.02162,0.06052,0.17404,0.83176,1750.7
2026-06-13T21:44:10.577921+00:00,SCO,0.00664,0.01876,0.05202,0.13046,0.68550,1782.0
2026-06-13T21:44:10.577921+00:00,IRN,0.00638,0.01684,0.04510,0.12366,0.67690,1772.0
2026-06-13T21:44:10.577921+00:00,ALG,0.00492,0.01548,0.03922,0.10288,0.64346,1772.0
2026-06-13T21:44:10.577921+00:00,AUS,0.00484,0.01372,0.03640,0.08910,0.50192,1777.0
2026-06-13T21:44:10.577921+00:00,PAR,0.00360,0.00968,0.02632,0.06436,0.38586,1774.3
2026-06-13T21:44:10.577921+00:00,SWE,0.00316,0.00970,0.02912,0.08844,0.60644,1712.0
2026-06-13T21:44:10.577921+00:00,EGY,0.00280,0.01026,0.03026,0.09770,0.70596,1696.0
2026-06-13T21:44:10.577921+00:00,CIV,0.00256,0.00872,0.02876,0.08532,0.66634,1695.0
2026-06-13T21:44:10.577921+00:00,PAN,0.00240,0.00754,0.02184,0.06240,0.45930,1730.0
2026-06-13T21:44:10.577921+00:00,CZE,0.00180,0.00666,0.02452,0.06710,0.53156,1682.3
2026-06-13T21:44:10.577921+00:00,BIH,0.00174,0.00566,0.02154,0.07912,0.66120,1632.3
2026-06-13T21:44:10.577921+00:00,UZB,0.00140,0.00544,0.01748,0.05100,0.39638,1714.0
2026-06-13T21:44:10.577921+00:00,JOR,0.00092,0.00348,0.00978,0.03256,0.28318,1680.0
2026-06-13T21:44:10.577921+00:00,TUN,0.00082,0.00244,0.01032,0.03872,0.38226,1628.0
2026-06-13T21:44:10.577921+00:00,COD,0.00078,0.00326,0.01124,0.03930,0.41102,1652.0
2026-06-13T21:44:10.577921+00:00,KSA,0.00044,0.00186,0.00640,0.02582,0.33176,1576.0
2026-06-13T21:44:10.577921+00:00,CPV,0.00036,0.00176,0.00678,0.02706,0.35160,1578.0
2026-06-13T21:44:10.577921+00:00,NZL,0.00030,0.00170,0.00720,0.02842,0.36050,1562.0
2026-06-13T21:44:10.577921+00:00,IRQ,0.00026,0.00112,0.00468,0.01840,0.17898,1607.0
2026-06-13T21:44:10.577921+00:00,HAI,0.00018,0.00090,0.00382,0.01520,0.22176,1548.0
2026-06-13T21:44:10.577921+00:00,GHA,0.00018,0.00066,0.00406,0.01936,0.38154,1510.0
2026-06-13T21:44:10.577921+00:00,RSA,0.00010,0.00044,0.00294,0.01410,0.22884,1504.0
2026-06-13T21:44:10.577921+00:00,QAT,0.00006,0.00034,0.00290,0.01892,0.37710,1447.2
2026-06-13T21:44:10.577921+00:00,CUW,0.00004,0.00020,0.00106,0.00780,0.22292,1434.0
2026-06-13T22:49:30.087948+00:00,ESP,0.15364,0.23062,0.34038,0.47556,0.98772,2157.0
2026-06-13T22:49:30.087948+00:00,ARG,0.11944,0.19528,0.30596,0.44264,0.96244,2115.0
2026-06-13T22:49:30.087948+00:00,FRA,0.09152,0.15776,0.27272,0.42634,0.95592,2063.0
2026-06-13T22:49:30.087948+00:00,ENG,0.06324,0.11588,0.20800,0.35774,0.95134,2024.0
2026-06-13T22:49:30.087948+00:00,BRA,0.05278,0.10418,0.19814,0.34698,0.95980,1991.0
2026-06-13T22:49:30.087948+00:00,POR,0.04968,0.09788,0.18420,0.33954,0.93464,1989.0
2026-06-13T22:49:30.087948+00:00,COL,0.04550,0.09050,0.16694,0.30424,0.89558,1982.0
2026-06-13T22:49:30.087948+00:00,NED,0.03826,0.07806,0.15932,0.30414,0.89504,1948.0
2026-06-13T22:49:30.087948+00:00,GER,0.03702,0.07650,0.15914,0.28910,0.93322,1932.0
2026-06-13T22:49:30.087948+00:00,ECU,0.03406,0.07190,0.14676,0.26756,0.87306,1938.0
2026-06-13T22:49:30.087948+00:00,MEX,0.03022,0.07016,0.15952,0.33202,0.98438,1888.0
2026-06-13T22:49:30.087948+00:00,NOR,0.02698,0.05904,0.12786,0.25676,0.84578,1914.0
2026-06-13T22:49:30.087948+00:00,BEL,0.02612,0.05878,0.12134,0.27392,0.93508,1894.0
2026-06-13T22:49:30.087948+00:00,TUR,0.02570,0.05650,0.11660,0.24090,0.81922,1911.0
2026-06-13T22:49:30.087948+00:00,JPN,0.02410,0.05288,0.11424,0.23432,0.80746,1906.0
2026-06-13T22:49:30.087948+00:00,CRO,0.02342,0.05226,0.10962,0.21560,0.84608,1912.0
2026-06-13T22:49:30.087948+00:00,URU,0.02130,0.05040,0.10536,0.20822,0.87382,1892.0
2026-06-13T22:49:30.087948+00:00,USA,0.01888,0.04732,0.10546,0.25456,0.97376,1785.7
2026-06-13T22:49:30.087948+00:00,SUI,0.01698,0.04134,0.09472,0.22114,0.80952,1864.8
2026-06-13T22:49:30.087948+00:00,SEN,0.01494,0.03586,0.08392,0.18648,0.71914,1860.0
2026-06-13T22:49:30.087948+00:00,MAR,0.01230,0.03230,0.08094,0.18764,0.81838,1827.0
2026-06-13T22:49:30.087948+00:00,AUT,0.01116,0.02908,0.06654,0.14578,0.77834,1830.0
2026-06-13T22:49:30.087948+00:00,KOR,0.00796,0.02330,0.06640,0.18230,0.94462,1744.7
2026-06-13T22:49:30.087948+00:00,CAN,0.00736,0.02232,0.06044,0.17270,0.83176,1750.7
2026-06-13T22:49:30.087948+00:00,SCO,0.00690,0.01948,0.05364,0.13018,0.68694,1782.0
2026-06-13T22:49:30.087948+00:00,IRN,0.00628,0.01788,0.04574,0.12392,0.68174,1772.0
